Title,Profit,Year
Little Fockers,"$310,650,585",2010
Bolt,"$309,979,994",2008
Ransom,"$309,492,681",1996
Runaway Bride,"$309,460,292",1999
The Blind Side,"$309,231,694",2009
The Ex-File 3: The Return of The Exes,"$307,592,427",2017
The Fault in Our Stars,"$307,166,834",2014
The Pursuit of Happyness,"$307,127,625",2006
Rise of the Guardians,"$306,941,670",2012
Close Encounters of the Third Kind,"$306,889,114",1977
Chicago,"$306,776,732",2002
Annabelle: Creation,"$306,515,884",2017
Bridesmaids,"$306,442,085",2011
Skyscraper,"$304,868,961",2018
A Good Day to Die Hard,"$304,654,182",2013
Mulan,"$304,320,254",1998
Dangal,"$303,723,636",2016
Passengers,"$303,144,152",2016
Battleship,"$303,025,485",2012
Liar Liar,"$302,710,615",1997
G.I. Joe: The Rise of Cobra,"$302,469,017",2009
Wrath of the Titans,"$301,970,083",2012
Fantastic Four: Rise of the Silver Surfer,"$301,913,131",2007
Hook,"$300,854,823",1991
Superman,"$300,478,449",1978
Rocky IV,"$300,473,716",1985
Rambo: First Blood Part II,"$300,400,432",1985
Resident Evil: Afterlife,"$300,228,084",2010
Van Helsing,"$300,157,638",2004
Stuart Little,"$300,135,367",1999
Beverly Hills Cop II,"$299,965,036",1987
Alice Through the Looking Glass,"$299,820,798",2016
My Best Friend's Wedding,"$299,288,605",1997
Real Steel,"$299,268,508",2011
Horton Hears a Who!,"$298,572,799",2008
Ocean's Eight,"$297,795,726",2018
A Quiet Place Part II,"$297,372,261",2021
The Divergent Series: Insurgent,"$297,002,527",2015
Look Who's Talking,"$296,999,813",1989
Austin Powers in Goldmember,"$296,938,801",2002
Ghostbusters,"$296,578,797",1984
Miss Peregrine's Home for Peculiar Children,"$296,482,446",2016
X-Men,"$296,339,528",2000
Ferdinand,"$296,069,199",2017
Shutter Island,"$294,805,697",2010
Doctor Dolittle,"$294,456,605",1998
Bee Movie,"$293,514,336",2007
Salt,"$293,503,354",2010
G-Force,"$292,817,898",2009
The Departed,"$291,480,452",2006
What Lies Beneath,"$291,420,351",2000
Pacific Rim: Uprising,"$290,930,148",2018
The Bourne Supremacy,"$290,835,269",2004
Sex and the City 2,"$290,745,055",2010
Shakespeare in Love,"$289,317,794",1998
Divergent,"$288,885,818",2014
Coming to America,"$288,752,301",1988
Wedding Crashers,"$288,485,135",2005
Maze Runner: The Death Cure,"$288,175,335",2018
Casper,"$287,928,194",1995
American Pie 2,"$287,553,595",2001
Pitch Perfect 2,"$287,144,079",2015
The Green Mile,"$286,801,374",1999
Oblivion,"$286,168,572",2013
Elysium,"$286,140,700",2013
Elvis,"$286,040,048",2022
Lethal Weapon 4,"$285,444,603",1998
John Carter,"$284,139,100",2012
Turbo,"$282,570,682",2013
Paddington,"$282,377,683",2014
Bridget Jones's Diary,"$281,995,610",2001
The Tourist,"$278,780,441",2010
Split,"$278,454,417",2017
Scary Movie,"$278,019,771",2000
xXx,"$277,448,382",2002
The Bourne Legacy,"$276,144,750",2012
Mr. Peabody & Sherman,"$275,698,039",2014
Scooby-Doo,"$275,678,613",2002
Lincoln,"$275,293,450",2012
Lara Croft: Tomb Raider,"$274,703,340",2001
Tomb Raider,"$274,650,803",2018
The Expendables,"$274,470,394",2010
Cloudy with a Chance of Meatballs 2,"$274,325,949",2013
The Nutty Professor,"$273,961,019",1996
Jerry Maguire,"$273,552,592",1996
Bad Boys II,"$273,339,556",2003
Lilo & Stitch,"$273,144,151",2002
The Silence of the Lambs,"$272,742,922",1991
Grown Ups,"$271,457,301",2010
Neighbors,"$270,665,134",2014
The Firm,"$270,248,367",1993
We're the Millers,"$269,994,119",2012
Gran Torino,"$269,958,228",2008
"10,000 BC","$269,784,201",2008
American Gangster,"$269,755,430",2007
Epic,"$268,426,634",2013
Exodus: Gods and Kings,"$268,175,631",2014
Blade Runner 2049,"$267,770,708",2017
Bambi,"$267,447,150",1942
The Princess and the Frog,"$267,045,765",2009
Batman Returns,"$266,915,287",1992
Indecent Proposal,"$266,614,059",1993
Something's Gotta Give,"$265,328,738",2003
Bridget Jones: The Edge of Reason,"$265,126,918",2004
The Incredible Hulk,"$264,770,996",2008
Waterworld,"$264,218,220",1995
The Truman Show,"$264,118,201",1998
Charlie's Angels,"$264,105,545",2000
The Fifth Element,"$263,920,180",1997
Jumanji,"$262,821,940",1995
Parasite,"$262,676,096",2019
Borat,"$262,552,893",2006
Robots,"$262,511,490",2005
Knight and Day,"$261,989,769",2008
Total Recall,"$261,317,921",1990
This Is It,"$261,183,588",2009
Terminator: Dark Fate,"$261,119,292",2019
The Lone Ranger,"$260,502,115",2013
Super 8,"$260,095,986",2011
Halloween,"$259,939,835",2018
Mojin: The Lost Legend,"$259,368,448",2015
Charlie's Angels: Full Throttle,"$259,175,788",2003
Rush Hour 3,"$258,097,122",2007
The Full Monty,"$257,938,649",1997
Kung Fu Yoga,"$257,753,889",2017
Annabelle,"$257,589,721",2014
Encanto,"$256,786,742",2021
The Village,"$256,697,520",2003
Lost in Hong Kong,"$256,283,912",2015
Erin Brockovich,"$256,271,286",2000
Us,"$256,067,149",2019
Pegasus,"$255,863,112",2019
Get Out,"$255,745,157",2016
Marley & Me,"$255,743,093",2008
Cliffhanger,"$255,000,211",1993
Baahubali 2: The Conclusion,"$254,158,390",2017
Babe,"$254,134,910",1995
Men in Black: International,"$253,890,701",2019
Wild Hogs,"$253,625,427",2007
High School Musical 3: Senior Year,"$252,909,177",2008
Hercules,"$252,712,101",1997
X-Men: Dark Phoenix,"$252,442,974",2019
True Grit,"$252,276,927",2010
Dolittle,"$251,410,631",2020
Bean,"$251,212,670",1997
American Hustle,"$251,171,807",2013
Enemy of the State,"$250,849,789",1998
You've Got Mail,"$250,821,495",1998
Eragon,"$250,425,512",2006
Brother Bear,"$250,397,798",2003
The Godfather,"$250,341,816",1972
The Mask of Zorro,"$250,288,523",1998
The Bad Guys,"$250,162,278",2022
The Ring,"$249,348,933",2002
The Blair Witch Project,"$248,639,099",1999
Unbreakable,"$248,118,121",2000
Journey to the West: The Demons Strike Back,"$247,585,244",2017
Dumb and Dumber,"$247,290,327",1994
Love Actually,"$247,248,468",2003
Glass,"$246,999,039",2019
Grown Ups 2,"$246,984,278",2013
The Peanuts Movie,"$246,233,113",2015
Rango,"$245,724,603",2011
Four Weddings and a Funeral,"$245,700,832",1994
Face/Off,"$245,676,146",1997
Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848",2016
Dark Shadows,"$245,527,149",2012
Hulk,"$245,285,165",2003
The Bravest,"$245,179,562",2019
Welcome to the Sticks,"$245,144,417",2008
Back to the Future Part III,"$245,077,583",1990
Pixels,"$244,874,809",2015
Hercules,"$244,819,862",2014
Rush Hour,"$244,721,064",1998
Journey to the Center of the Earth,"$244,232,688",2008
After Earth,"$243,611,982",2013
A Few Good Men,"$243,240,178",1992
Cloudy with a Chance of Meatballs,"$243,006,126",2009
8 Mile,"$242,875,078",2002
Daddy's Home,"$242,786,137",2015
RoboCop,"$242,688,965",2014
Eraser,"$242,295,562",1996
Alien: Covenant,"$240,891,763",2017
Sully,"$240,797,623",2016
Assassin's Creed,"$240,697,856",2016
Click,"$240,685,326",2006
Legend of Deification,"$240,646,355",2020
Resident Evil: Retribution,"$240,159,255",2012
Die Hard 2,"$240,031,274",1990
Crocodile Dundee II,"$239,606,210",1988
Bullet Train,"$239,268,602",2022
Planes,"$239,258,712",2013
Crazy Rich Asians,"$238,843,729",2018
Batman & Robin,"$238,235,719",1997
Howl's Moving Castle,"$237,536,126",2004
Gulliver's Travels,"$237,382,724",2010
Gone in 60 Seconds,"$237,202,299",2000
Saturday Night Fever,"$237,113,184",1977
Silver Linings Playbook,"$236,412,453",2012
2 Fast 2 Furious,"$236,350,661",2003
Hidden Figures,"$235,956,898",2016
A.I. Artificial Intelligence,"$235,926,552",2001
Dead Poets Society,"$235,860,116",1989
Spy,"$235,666,219",2015
American Pie,"$235,483,004",1999
American Reunion,"$234,989,584",2012
Big Daddy,"$234,801,895",1999
Alvin and the Chipmunks: The Road Chip,"$234,798,636",2015
The Imitation Game,"$233,555,708",2014
Cruella,"$233,503,234",2021
The Day the Earth Stood Still,"$233,093,859",2008
American Wedding,"$232,722,935",2003
The Girl with the Dragon Tattoo,"$232,617,430",2011
Juno,"$232,372,681",2007
Argo,"$232,325,503",2012
Mr. Bean's Holiday,"$232,225,908",2007
The English Patient,"$231,976,425",1996
Sister Act,"$231,605,150",1992
Annabelle Comes Home,"$231,252,591",2019
Constantine,"$230,884,728",2005
Get Smart,"$230,685,453",2008
Space Jam,"$230,594,962",1996
Life Is Beautiful,"$230,098,753",1998
The Heat,"$229,930,771",2013
Ghostbusters,"$229,147,509",2016
Ghost Rider,"$228,738,393",2007
Goodbye Mr. Loser,"$228,122,928",2015
Paddington 2,"$227,994,792",2017
Sleepless in Seattle,"$227,927,165",1993
Lethal Weapon 2,"$227,853,986",1989
The Green Hornet,"$227,817,248",2011
Out of Africa,"$227,514,205",1985
Youth,"$227,091,290",2017
Baby Driver,"$226,945,087",2017
Immortals,"$226,904,017",2011
Taken,"$226,837,760",2008
Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209",2010
Lightyear,"$226,425,420",2022
Hansel & Gretel: Witch Hunters,"$226,349,749",2013
Elf,"$226,268,933",2003
Valerian and the City of a Thousand Planets,"$225,973,340",2017
Good Will Hunting,"$225,933,435",1997
Better Days,"$225,918,798",2019
Ford v Ferrari,"$225,508,210",2019
Jumper,"$225,132,113",2008
The Social Network,"$224,920,375",2010
Chicken Run,"$224,874,811",2000
Con Air,"$224,012,234",1997
Interview with the Vampire: The Vampire Chronicles,"$223,664,608",1994
Flightplan,"$223,387,299",2005
Yes Man,"$223,241,637",2008
Non-Stop,"$222,809,600",2014
"Honey, I Shrunk the Kids","$222,724,172",1989
Fahrenheit 9/11,"$222,446,882",2004
Wild Wild West,"$222,104,681",1999
"My Country, My Parents","$221,831,086",2021
Geostorm,"$221,600,160",2017
Presumed Innocent,"$221,303,188",1990
Jungle Cruise,"$220,889,446",2021
Scary Movie 3,"$220,673,217",2003
Collateral,"$220,239,925",2004
Inferno,"$220,021,259",2016
Knocked Up,"$219,922,417",2007
Green Lantern,"$219,851,172",2011
What Happens in Vegas,"$219,375,562",2008
It's Complicated,"$219,103,655",2009
The Terminal,"$219,100,084",2004
Little Women,"$218,843,645",2019
Captain Phillips,"$218,791,811",2013
The Prince of Egypt,"$218,613,188",1998
Jack Reacher,"$218,340,595",2012
Kingdom of Heaven,"$218,122,627",2005
The Emoji Movie,"$217,776,646",2017
Too Cool to Kill,"$217,254,604",2022
Dracula Untold,"$217,124,280",2014
Central Intelligence,"$216,972,543",2016
Million Dollar Baby,"$216,763,646",2004
The Help,"$216,639,112",2011
Twins,"$216,614,388",1988
Valentine's Day,"$216,528,528",2010
Bad Teacher,"$216,197,492",2011
Smile,"$216,135,048",2022
A Little Red Flower,"$216,000,000",2020
The Croods: A New Age,"$215,905,815",2020
Clear and Present Danger,"$215,887,717",1994
One Hundred and One Dalmatians,"$215,880,014",1961
Ted 2,"$215,863,606",2015
Dracula,"$215,862,692",1992
Vertical Limit,"$215,663,859",2000
Ghostbusters II,"$215,394,738",1989
The Patriot,"$215,294,342",2000
The Sorcerer's Apprentice,"$215,283,742",2010
Just Go with It,"$214,945,591",2011
The Expendables 3,"$214,657,577",2014
Dirty Dancing,"$214,577,242",1987
Creed II,"$214,215,889",2018
Smallfoot,"$214,115,531",2018
Public Enemies,"$214,104,620",2009
The Bourne Identity,"$214,034,224",2002
Disclosure,"$214,015,089",1994
Pulp Fiction,"$213,928,762",1994
The Aviator,"$213,719,942",2004
"Crouching Tiger, Hidden Dragon","$213,525,736",2000
Braveheart,"$213,216,216",1995
Into the Woods,"$212,902,372",2014
Bedtime Stories,"$212,874,864",2008
Miss Congeniality,"$212,742,720",2000
Entrapment,"$212,404,396",1999
Ace Ventura: When Nature Calls,"$212,385,533",1995
End of Days,"$211,989,043",1999
Bridget Jones's Baby,"$211,952,420",2016
Fury,"$211,822,697",2014
Battle Los Angeles,"$211,819,354",2011
Australia,"$211,787,511",2008
Due Date,"$211,780,824",2010
Master and Commander: The Far Side of the World,"$211,622,535",2003
A Series of Unfortunate Events,"$211,468,235",2004
The Little Mermaid,"$211,343,479",1989
Nice View,"$211,019,042",2022
District 9,"$210,888,950",2009
Moonraker,"$210,308,099",1979
The Others,"$209,947,037",2001
Horrible Bosses,"$209,838,559",2011
Us and Them,"$209,221,380",2018
Red Dragon,"$209,196,298",2002
Tomorrowland,"$209,035,668",2015
Me Before You,"$208,314,186",2016
Safe House,"$208,076,205",2012
S.W.A.T.,"$207,725,639",2003
The Fast and the Furious,"$207,517,509",2001
Traffic,"$207,515,725",2000
Paranormal Activity 3,"$207,039,844",2011
Philadelphia,"$206,678,440",1993
The Conjuring: The Devil Made Me Do It,"$206,401,480",2021
Sleepy Hollow,"$206,071,502",1999
The Holiday,"$205,850,134",2006
The Jungle Book,"$205,843,612",1967
Raging Fire,"$205,842,393",2021
London Has Fallen,"$205,754,447",2016
The Break-Up,"$205,668,210",2006
Journey to the West,"$205,637,183",2013
The Ugly Truth,"$205,599,393",2009
JFK,"$205,405,498",1991
White House Down,"$205,366,737",2013
Birds of Prey,"$205,322,941",2020
A Dog's Purpose,"$205,035,819",2017
Ponyo,"$204,826,668",2008
Fun with Dick and Jane,"$204,681,899",2005
Eat Pray Love,"$204,594,016",2010
The Addams Family,"$204,394,183",2019
Ghostbusters: Afterlife,"$204,334,455",2021
You Don't Mess with the Zohan,"$204,313,400",2008
DC League of Super-Pets,"$203,857,117",2022
Hairspray,"$203,627,753",2007
King Arthur,"$203,567,857",2004
Yogi Bear,"$203,509,374",2010
Everest,"$203,427,584",2015
Vanilla Sky,"$203,388,341",2001
Arrival,"$203,388,186",2016
Need for Speed,"$203,277,636",2014
Garfield,"$203,172,417",2004
Patch Adams,"$202,292,902",1998
Teenage Mutant Ninja Turtles,"$202,084,756",1990
Kindergarten Cop,"$201,957,688",1990
Straight Outta Compton,"$201,634,991",2015
21 Jump Street,"$201,585,328",2012
Valkyrie,"$201,545,517",2008
Open Season,"$200,811,689",2006
Cats & Dogs,"$200,687,492",2001
The Hunt for Red October,"$200,512,643",1990
Percy Jackson: Sea of Monsters,"$199,850,315",2013
Two Weeks Notice,"$199,043,471",2002
RED,"$199,006,387",2010
Shock Wave 2,"$198,921,659",2020
City of Angels,"$198,685,114",1998
The Pacifier,"$198,636,868",2005
50 First Dates,"$198,520,934",2004
Total Recall,"$198,467,168",2012
The Island,"$198,326,350",2018
The Impossible,"$198,087,212",2012
Lost in Thailand,"$197,757,387",2012
Christopher Robin,"$197,744,377",2018
Jack the Giant Slayer,"$197,687,603",2013
Smurfs: The Lost Village,"$197,183,546",2017
Chinese Doctors,"$197,143,218",2021
Spy Kids 3: Game Over,"$197,101,678",2003
Panic Room,"$197,079,546",2002
The Other Woman,"$196,710,396",2014
Stargate,"$196,567,262",1994
Beowulf,"$196,393,745",2007
The Vow,"$196,114,570",2012
Anger Management,"$195,745,823",2003
Tropic Thunder,"$195,702,963",2008
The Shape of Water,"$195,333,312",2017
Rocketman,"$195,320,400",2019
The Pelican Brief,"$195,268,056",1993
The BFG,"$195,243,411",2016
Downton Abbey,"$194,694,725",2019
The Intern,"$194,564,672",2015
Wallace & Gromit: The Curse of the Were-Rabbit,"$194,137,091",2005
Gnomeo & Juliet,"$193,967,670",2011
The Sum of All Fears,"$193,921,372",2002
Gangs of New York,"$193,772,504",2002
The Monkey King 2,"$193,678,298",2016
Paranormal Activity,"$193,355,800",2009
Weathering with You,"$193,353,305",2019
The Lego Movie 2: The Second Part,"$192,456,290",2019
The Equalizer,"$192,330,738",2014
Sheep Without a Shepherd,"$191,602,146",2019
The Addams Family,"$191,502,426",1991
The Longest Yard,"$191,466,556",2005
The Lost City,"$190,844,029",2022
The Santa Clause,"$190,539,357",1994
Cheaper by the Dozen,"$190,538,630",2003
Abominable,"$190,514,622",2019
The Equalizer 2,"$190,400,157",2018
Hollow Man,"$190,213,455",2000
Outbreak,"$189,859,560",1995
The White Storm 2: Drug Lords,"$189,396,380",2019
The X Files,"$189,176,423",1998
Breakup Buddies,"$189,017,596",2014
Rambo III,"$189,015,611",1988
The Secret Life of Walter Mitty,"$188,133,322",2013
Project Gutenberg,"$188,116,796",2018
Jaws 2,"$187,884,007",1978
The Post,"$187,795,262",2017
12 Years a Slave,"$187,733,202",2013
Heat,"$187,436,818",1995
Mr. Popper's Penguins,"$187,361,754",2011
The Grudge,"$187,281,115",2004
I Now Pronounce You Chuck & Larry,"$187,134,117",2007
The Horse Whisperer,"$186,883,563",1998
Walk the Line,"$186,797,986",2005
Jian Bing Man,"$186,699,768",2015
The Jungle Book 2,"$186,303,759",2003
The Final Destination,"$186,167,139",2009
Atlantis: The Lost Empire,"$186,053,725",2001
Inside Man,"$186,003,591",2006
The Waterboy,"$185,991,646",1998
Hugo,"$185,770,310",2011
Pitch Perfect 3,"$185,400,345",2017
Watchmen,"$185,382,813",2009
The Birdcage,"$185,260,553",1996
Moulin Rouge!,"$184,935,320",2001
Snow White and the Seven Dwarfs,"$184,925,486",1937
Hop,"$184,367,145",2011
Bad Moms,"$183,936,074",2016
Jupiter Ascending,"$183,887,723",2015
Knowing,"$183,658,498",2007
102 Dalmatians,"$183,611,771",2000
Storks,"$183,510,278",2016
Stand by Me Doraemon,"$183,442,714",2014
The Hitman's Bodyguard,"$183,428,689",2017
Paul Blart: Mall Cop,"$183,348,429",2009
Wayne's World,"$183,097,323",1992
Maverick,"$183,031,272",1994
Mirror Mirror,"$183,018,522",2012
The Man in the Iron Mask,"$182,968,902",1998
Cape Fear,"$182,291,969",1991
The Haunted Mansion,"$182,290,266",2003
The Monkey King Havoc in Heavens Palace,"$182,206,924",2014
While You Were Sleeping,"$182,057,016",1995
The Bridges of Madison County,"$182,016,617",1995
From Vegas to Macau III,"$181,732,879",2016
Poseidon,"$181,674,817",2006
The First Wives Club,"$181,489,203",1996
Cliff Walkers,"$181,325,565",2021
Scooby-Doo 2: Monsters Unleashed,"$181,239,132",2004
Hot Shots!,"$181,096,164",1991
Road to Perdition,"$181,001,478",2002
Kill Bill: Vol. 1,"$180,906,076",2003
The Scorpion King,"$180,630,907",2002
Sweet Home Alabama,"$180,622,424",2002
Daddy's Home 2,"$180,613,824",2017
Hacksaw Ridge,"$180,563,636",2016
Deja Vu,"$180,557,550",2006
Dangerous Minds,"$179,519,401",1995
The Dictator,"$179,379,533",2012
The League of Extraordinary Gentlemen,"$179,265,204",2003
Allegiant,"$179,246,868",2016
Daredevil,"$179,179,718",2003
City Slickers,"$179,033,791",1991
He's Just Not That Into You,"$178,866,158",2009
Eagle Eye,"$178,767,383",2008
Along Came Polly,"$178,311,729",2004
Flushed Away,"$178,281,554",2006
Scary Movie 4,"$178,262,620",2006
Dante's Peak,"$178,127,760",1997
Brokeback Mountain,"$178,062,759",2005
Patriot Games,"$178,051,587",1992
Flubber,"$177,977,226",1997
Baywatch,"$177,856,751",2017
Double Jeopardy,"$177,841,558",1999
War Horse,"$177,584,879",2011
Paranormal Activity 2,"$177,512,032",2010
How to Lose a Guy in 10 Days,"$177,502,387",2003
Alien vs. Predator,"$177,427,090",2004
Hero,"$177,395,557",2002
The 40-Year-Old Virgin,"$177,378,645",2005
The Butler,"$177,313,795",2013