"Title","Profit","Year","audienceScore","tomatoMeter","Rating"
"Avatar","$2,922,917,914",2009,"82","82","PG-13"
"Avengers: Endgame","$2,797,501,328",2019,"90","94","PG-13"
"Titanic","$2,201,647,264",1997,"69","87","PG-13"
"Star Wars: Episode VII - The Force Awakens","$2,069,521,700",2015,"85","93","PG-13"
"Avengers: Infinity War","$2,048,359,754",2018,"92","85","PG-13"
"Spider-Man: No Way Home","$1,916,306,995",2021,"98","93","PG-13"
"Jurassic World","$1,671,537,444",2015,"78","71","PG-13"
"The Lion King","$1,663,250,487",2019,"93","93","G"
"Marvel's The Avengers","$1,518,815,515",2012,"91","91","PG-13"
"Furious 7","$1,515,341,399",2015,"82","81","PG-13"
"Top Gun: Maverick","$1,488,732,821",2022,"99","96","PG-13"
"Frozen II","$1,450,026,933",2019,"92","77","PG"
"Avengers: Age of Ultron","$1,402,809,540",2015,"82","76","PG-13"
"Black Panther 2018","$1,382,248,826",2018,"79","96","PG-13"
"Harry Potter and the Deathly Hallows: Part 2","$1,342,359,942",2011,"89","96","PG-13"
"Star Wars: The Last Jedi","$1,332,698,830",2017,"42","91","PG-13"
"Jurassic World: Fallen Kingdom","$1,310,466,296",2018,"48","47","PG-13"
"Beauty and the Beast 2017","$1,305,611,599",2017,"80","71","PG"
"Frozen 2013","$1,304,550,716",2013,"85","90","PG"
"Incredibles 2","$1,243,089,244",2018,"84","93","PG"
"The Fate of the Furious","$1,236,005,118",2017,"72","67","PG-13"
"Iron Man 3","$1,214,811,252",2013,"78","79","PG-13"
"Minions","$1,159,444,662",2015,"49","55","PG"
"Captain America: Civil War","$1,153,337,496",2016,"89","90","PG-13"
"Aquaman","$1,148,528,393",2018,"73","65","PG-13"
"The Lord of the Rings: The Return of the King","$1,146,457,748",2003,"86","93","PG-13"
"Spider-Man: Far from Home","$1,131,927,996",2019,"95","90","PG-13"
"Captain Marvel","$1,128,462,972",2019,"45","79","PG-13"
"Transformers: Dark of the Moon","$1,123,794,079",2011,"55","35","PG-13"
"Jurassic Park","$1,109,802,321",1993,"91","91","PG-13"
"Skyfall","$1,108,569,499",2012,"86","92","PG-13"
"Transformers: Age of Extinction","$1,104,054,072",2014,"50","17","PG-13"
"The Dark Knight Rises","$1,081,169,825",2012,"90","87","PG-13"
"Joker 2019","$1,074,458,282",2019,"88","68","R"
"Star Wars: The Rise of Skywalker","$1,074,149,279",2019,"86","52","PG-13"
"Toy Story 4","$1,073,394,593",2019,"94","97","G"
"Toy Story 3","$1,066,970,811",2010,"90","98","G"
"Pirates of the Caribbean: Dead Man's Chest","$1,066,179,747",2006,"72","53","PG-13"
"The Lion King","$1,063,611,805",1994,"93","93","G"
"Rogue One: A Star Wars Story","$1,058,682,142",2016,"87","84","PG-13"
"Aladdin","$1,050,693,953",2019,"94","57","PG"
"Pirates of the Caribbean: On Stranger Tides","$1,045,713,802",2011,"54","33","PG-13"
"Zootopia","$1,042,533,689",2016,"92","98","PG"
"Despicable Me 3","$1,034,800,131",2017,"53","59","PG"
"Finding Dory","$1,028,570,942",2016,"84","94","PG"
"Star Wars: Episode I - The Phantom Menace","$1,027,082,707",1999,"59","51","PG"
"Alice in Wonderland","$1,025,468,216",2010,"55","51","PG"
"Harry Potter and the Sorcerer's Stone","$1,023,842,938",2001,"82","81","PG"
"The Hobbit: An Unexpected Journey","$1,017,030,651",2012,"83","64","PG-13"
"The Dark Knight","$1,006,234,167",2008,"94","94","PG-13"
"Jurassic World: Dominion","$1,001,136,080",2022,"77","29","PG-13"
"Jumanji: Welcome to the Jungle","$995,339,117",2017,"87","76","PG-13"
"Harry Potter and the Deathly Hallows: Part 1","$977,070,383",2010,"85","77","PG-13"
"Despicable Me 2","$970,766,005",2013,"85","75","PG"
"The Jungle Book 2016","$966,554,929",2016,"86","94","PG"
"The Hobbit: The Battle of the Five Armies","$962,201,338",2014,"74","59","PG-13"
"Pirates of the Caribbean: At World's End","$960,996,492",2007,"72","44","PG-13"
"The Hobbit: The Desolation of Smaug","$959,027,992",2013,"85","74","PG-13"
"Doctor Strange in the Multiverse of Madness","$955,775,804",2022,"85","74","PG-13"
"The Lord of the Rings: The Two Towers","$947,944,270",2002,"95","95","PG-13"
"Harry Potter and the Order of the Phoenix","$942,235,757",2007,"81","78","PG-13"
"Finding Nemo","$940,352,645",2003,"86","99","G"
"Minions: The Rise of Gru","$939,433,210",2022,"89","70","PG"
"Harry Potter and the Half-Blood Prince","$934,504,700",2009,"78","84","PG"
"Shrek 2","$928,760,770",2004,"69","89","PG"
"Harry Potter and the Chamber of Secrets","$925,054,421",2002,"80","82","PG"
"Bohemian Rhapsody","$910,809,311",2018,"85","60","PG-13"
"The Battle at Lake Changjin","$902,548,476",2021,"100","36",""
"The Lord of the Rings: The Fellowship of the Ring","$898,204,420",2001,"95","91","PG-13"
"Harry Potter and the Goblet of Fire","$896,815,106",2005,"74","88","PG-13"
"SpiderMan 3","$894,983,373",2007,"51","63","PG-13"
"The Secret Life of Pets","$894,328,469",2016,"62","72","PG"
"Ice Age: Dawn of the Dinosaurs","$886,686,817",2009,"63","46","PG"
"Spectre 2015","$880,705,312",2015,"61","63","PG-13"
"Spider-Man: Homecoming","$880,166,924",2017,"87","92","PG-13"
"Ice Age: Continental Drift","$877,244,782",2012,"61","37","PG"
"Batman v Superman: Dawn of Justice","$873,637,528",2016,"63","29","PG-13"
"Wolf Warrior 2","$870,325,439",2017,"75","69",""
"Star Wars: Episode III - Revenge of the Sith","$868,390,560",2005,"66","79","PG-13"
"The Hunger Games: Catching Fire","$865,011,746",2013,"89","90","PG-13"
"Guardians of the Galaxy Vol. 2","$863,756,051",2017,"87","85","PG-13"
"Inside Out 2015","$858,848,019",2015,"89","98","PG"
"Venom 2018","$856,085,151",2018,"80","29","PG-13"
"Thor: Ragnarok","$853,983,879",2017,"87","93","PG-13"
"The Twilight Saga: Breaking Dawn - Part 2","$848,853,382",2012,"70","49","PG-13"
"Inception","$836,848,102",2010,"91","87","PG-13"
"Transformers: Revenge of the Fallen","$836,303,693",2009,"57","20","PG-13"
"Spider-Man","$825,025,036",2002,"67","90","PG-13"
"Wonder Woman","$822,854,286",2017,"78","83","PG-13"
"Hi, Mom","$822,009,764",2021,"56","73","R"
"Independence Day","$817,400,891",1996,"75","67","PG-13"
"Fantastic Beasts and Where to Find Them","$814,044,001",2016,"79","74","PG-13"
"Shrek the Third","$813,367,380",2007,"52","41","PG"
"Coco 2017","$807,817,888",2017,"94","97","PG"
"Jumanji: The Next Level","$801,693,929",2019,"87","71","PG-13"
"Harry Potter and the Prisoner of Azkaban","$797,660,766",2004,"86","90","PG"
"Pirates of the Caribbean: Dead Men Tell No Tales","$794,881,442",2017,"60","30","PG-13"
"E.T. the ExtraTerrestrial","$792,910,554",1982,"72","99","PG"
"Mission: Impossible - Fallout","$791,657,398",2018,"88","97","PG-13"
"2012","$791,217,826",2009,"47","39","PG-13"
"Indiana Jones and the Kingdom of the Crystal Skull","$790,653,942",2008,"53","78","PG-13"
"SpiderMan 2","$788,976,453",2004,"82","93","PG-13"
"Fast & Furious 6","$788,680,968",2013,"84","70","PG-13"
"Deadpool 2","$785,896,609",2018,"85","84","R"
"Deadpool","$782,836,791",2016,"90","85","R"
"Star Wars: A New Hope","$775,398,007",1977,"96","93","PG"
"No Time to Die","$774,153,007",2021,"88","83","PG-13"
"Interstellar","$773,837,686",2014,"86","73","PG-13"
"Guardians of the Galaxy","$773,350,147",2014,"92","92","PG-13"
"Black Panther: Wakanda Forever","$772,662,471",2022,"94","84","PG-13"
"The Batman","$770,836,163",2022,"87","85","PG-13"
"Thor: Love and Thunder","$760,928,081",2022,"77","64","PG-13"
"Fast & Furious Presents: Hobbs & Shaw","$760,732,926",2019,"88","68","PG-13"
"Da Vinci Code","$760,006,945",2006,"57","25","PG-13"
"Maleficent","$758,411,779",2014,"70","54","PG"
"The Amazing Spider-Man","$757,930,663",2012,"77","71","PG-13"
"The Hunger Games: Mockingjay - Part 1","$755,356,711",2014,"71","69","PG-13"
"Shrek Forever After","$752,600,867",2010,"54","57","PG"
"Gravity","$748,049,949",2013,"79","96","PG-13"
"Madagascar 3: Europe's Most Wanted","$746,921,274",2012,"72","78","PG"
"Suicide Squad","$746,846,894",2016,"58","26","PG-13"
"X-Men: Days of Future Past","$746,045,700",2014,"91","90","PG-13"
"Chronicles of Narnia Lion Witch Wardrobe","$745,013,115",2005,"61","76","PG"
"Monsters University","$743,559,645",2013,"81","80","G"
"The Matrix Reloaded","$741,847,937",2003,"72","73","R"
"Up","$735,099,102",2009,"90","98","PG"
"Ne Zha","$726,264,074",2019,"98","88",""
"F9","$726,229,501",2021,"82","59","PG-13"
"Captain America: The Winter Soldier","$714,421,503",2014,"92","90","PG-13"
"The Twilight Saga: Breaking Dawn - Part 1","$712,205,856",2011,"60","25","PG-13"
"The Twilight Saga: New Moon","$711,025,481",2009,"61","29","PG-13"
"Dawn of the Planet of the Apes","$710,644,566",2014,"88","91","PG-13"
"Transformers the Movie","$709,709,780",2007,"85","58","PG-13"
"The Amazing Spider-Man 2","$708,982,323",2014,"64","51","PG-13"
"It 2017","$701,842,551",2017,"84","86","R"
"The Wandering Earth","$699,992,512",2019,"48","70",""
"The Twilight Saga: Eclipse","$698,509,825",2010,"60","47","PG-13"
"Mission: Impossible - Ghost Protocol","$694,713,380",2011,"76","93","PG-13"
"Mamma Mia!","$694,476,782",2008,"66","55","PG-13"
"The Hunger Games","$694,394,724",2012,"81","84","PG-13"
"Detective Chinatown 3","$686,257,563",2021,"","60","R"
"Mission: Impossible - Rogue Nation","$682,716,636",2015,"87","94","PG-13"
"Forrest Gump","$678,226,465",1994,"95","71","PG-13"
"Doctor Strange 2016","$677,796,076",2016,"86","89","PG-13"
"Sixth Sense","$672,806,432",1999,"90","86","PG-13"
"Man of Steel","$668,045,518",2013,"75","56","PG-13"
"Ice Age 2","$667,094,506",2006,"71","57","PG"
"Kung Fu Panda the Kaboom of Doom","$665,692,281",2011,"74","80","PG"
"Moana","$665,069,139",2016,"89","95","PG"
"Zack Snyder's Justice League","$657,926,987",2017,"94","71","R"
"Big Hero 6","$657,869,686",2014,"91","90","PG"
"Fantastic Beasts: The Crimes of Grindelwald","$654,855,901",2018,"54","36","PG-13"
"Pirates of the Caribbean: The Curse of the Black Pearl","$654,264,015",2003,"86","80","PG-13"
"Men in Black III","$654,213,485",2012,"70","67","PG-13"
"Star Wars: Episode II - Attack of the Clones","$653,779,970",2002,"56","65","PG"
"The Hunger Games: Mockingjay - Part 2","$653,428,261",2015,"66","70","PG-13"
"Thor: The Dark World","$644,783,140",2013,"75","66","PG-13"
"Sing","$634,338,384",2016,"89","43","PG-13"
"Kung Fu Panda","$632,083,197",2008,"83","87","PG"
"The Incredibles","$631,607,053",2004,"75","97","PG"
"The Martian","$630,620,818",2015,"91","91","PG-13"
"Hancock","$629,443,428",2008,"59","41","PG-13"
"Fast Five","$626,137,675",2011,"83","78","PG-13"
"Iron Man 2","$623,933,331",2010,"71","71","PG-13"
"Ratatouille","$623,726,085",2007,"87","96","G"
"Ant-Man and the Wasp","$622,674,139",2018,"80","87","PG-13"
"How to Train Your Dragon 2","$621,537,519",2014,"89","92","PG"
"Logan 2017","$619,179,950",2017,"90","94","R"
"Lost World Jurassic Park","$618,638,999",1997,"51","54","PG-13"
"Casino Royale","$616,504,662",2006,"90","94","PG-13"
"Passion of the Christ","$612,054,506",2004,"80","49","R"
"Life of Pi","$609,016,565",2012,"84","86","PG"
"Transformers: The Last Knight","$605,425,157",2017,"43","16","PG-13"
"Madagascar: Escape 2 Africa","$603,900,354",2008,"66","64","PG"
"War of the Worlds","$603,873,119",2005,"42","75","PG-13"
"Tangled","$592,462,816",2010,"87","89","PG"
"Quantum of Solace","$589,580,482",2008,"58","64","PG-13"
"Men in Black","$589,390,539",1997,"80","91","PG-13"
"The Croods","$587,235,983",2013,"77","71","PG"
"The Hangover Part II","$586,764,305",2011,"52","34","R"
"Iron Man","$585,796,247",2008,"91","94","PG-13"
"I Am Legend","$585,410,052",2007,"68","68","PG-13"
"Ready Player One","$582,918,849",2018,"77","72","PG-13"
"Monsters, Inc.","$579,707,738",2001,"90","96","G"
"Operation Red Sea","$579,330,426",2018,"64","80",""
"Night at the Museum","$574,481,229",2006,"67","43","PG"
"Fifty Shades of Grey","$569,651,467",2015,"41","24","R"
"Kong: Skull Island","$566,652,812",2017,"69","75","PG-13"
"The Smurfs","$563,749,323",2011,"43","21","PG"
"Cars 2","$559,852,396",2011,"49","39","G"
"King Kong","$556,906,378",2005,"50","84","PG-13"
"Puss in Boots","$554,987,477",2011,"67","86","PG"
"The Mermaid","$553,810,228",2016,"60","95","R"
"Armageddon","$553,709,788",1998,"73","37","PG-13"
"Day After Tomorrow","$552,639,571",2004,"50","45","PG-13"
"Ted","$549,368,315",2012,"73","69","R"
"American Sniper","$547,459,020",2014,"84","72","R"
"Mission: Impossible II","$546,388,108",2000,"42","56","PG-13"
"Detective Chinatown 2","$544,185,156",2018,"66","54","R"
