"Title","Profit","Year","audienceScore","tomatoMeter","Rating","Rank"
"The Butler",177313795,2013,78,71,"PG-13",1
"The 40-Year-Old Virgin",177378645,2005,84,85,"R",2
"Hero",177395557,2002,87,94,"PG-13",3
"Alien vs. Predator",177427090,2004,39,22,"PG-13",4
"How to Lose a Guy in 10 Days",177502387,2003,77,42,"PG-13",5
"Paranormal Activity 2",177512032,2010,48,57,"R",6
"War Horse",177584879,2011,74,75,"PG-13",7
"Double Jeopardy",177841558,1999,61,28,"R",8
"Baywatch",177856751,2017,62,17,"R",9
"Flubber",177977226,1997,33,24,"PG",10
"Patriot Games",178051587,1992,72,74,"R",11
"Brokeback Mountain",178062759,2005,82,88,"R",12
"Dante's Peak",178127760,1997,38,28,"PG-13",13
"Scary Movie 4",178262620,2006,51,34,"PG-13",14
"Flushed Away",178281554,2006,65,73,"PG",15
"Along Came Polly",178311729,2004,47,27,"PG-13",16
"Eagle Eye",178767383,2008,62,26,"PG-13",17
"He's Just Not That Into You",178866158,2009,59,41,"PG-13",18
"City Slickers",179033791,1991,64,90,"PG-13",19
"Daredevil",179179718,2003,35,43,"PG-13",20
"Allegiant",179246868,2016,41,11,"PG-13",21
"The League of Extraordinary Gentlemen",179265204,2003,44,17,"PG-13",22
"The Dictator",179379533,2012,44,56,"R",23
"Dangerous Minds",179519401,1995,64,33,"R",24
"Deja Vu",180557550,2006,73,56,"PG-13",25
"Hacksaw Ridge",180563636,2016,91,84,"R",26
"Daddy's Home 2",180613824,2017,51,21,"PG-13",27
"Sweet Home Alabama",180622424,2002,78,38,"PG-13",28
"The Scorpion King",180630907,2002,37,41,"PG-13",29
"Kill Bill: Vol. 1",180906076,2003,81,85,"R",30
"Road to Perdition",181001478,2002,86,81,"R",31
"Hot Shots!",181096164,1991,65,85,"PG-13",32
"Scooby-Doo 2: Monsters Unleashed",181239132,2004,40,22,"PG",33
"Cliff Walkers",181325565,2021,77,81,"",34
"The First Wives Club",181489203,1996,68,50,"PG",35
"Poseidon",181674817,2006,43,33,"PG-13",36
"From Vegas to Macau III",181732879,2016,14,20,"",37
"The Bridges of Madison County",182016617,1995,87,90,"PG-13",38
"While You Were Sleeping",182057016,1995,79,81,"PG",39
"The Haunted Mansion",182290266,2003,31,14,"PG",40
"Cape Fear",182291969,1991,77,74,"R",41
"The Man in the Iron Mask",182968902,1998,55,32,"PG-13",42
"Mirror Mirror",183018522,2012,45,50,"PG",43
"Maverick",183031272,1994,71,67,"PG",44
"Wayne's World",183097323,1992,84,79,"PG-13",45
"Paul Blart: Mall Cop",183348429,2009,43,34,"PG",46
"The Hitman's Bodyguard",183428689,2017,67,43,"R",47
"Storks",183510278,2016,62,65,"PG",49
"102 Dalmatians",183611771,2000,32,31,"G",50
"Knowing",183658498,2007,42,34,"PG-13",51
"Jupiter Ascending",183887723,2015,38,28,"PG-13",52
"Bad Moms",183936074,2016,63,58,"R",53
"Hop",184367145,2011,53,24,"PG",54
"Snow White and the Seven Dwarfs",184925486,1937,78,98,"G",55
"Moulin Rouge!",184935320,2001,89,75,"PG-13",56
"The Birdcage",185260553,1996,81,82,"R",57
"Watchmen",185382813,2009,71,65,"R",58
"Pitch Perfect 3",185400345,2017,43,28,"PG-13",59
"Hugo",185770310,2011,78,93,"PG",60
"The Waterboy",185991646,1998,71,33,"PG-13",61
"Inside Man",186003591,2006,85,86,"R",62
"Atlantis: The Lost Empire",186053725,2001,54,49,"PG",63
"The Final Destination",186167139,2009,35,27,"R",64
"The Jungle Book 2",186303759,2003,30,18,"G",65
"Walk the Line",186797986,2005,90,82,"PG-13",67
"The Horse Whisperer",186883563,1998,72,74,"PG-13",68
"I Now Pronounce You Chuck & Larry",187134117,2007,69,14,"PG-13",69
"The Grudge",187281115,2004,46,40,"PG-13",70
"Mr. Popper's Penguins",187361754,2011,53,47,"PG",71
"Heat",187436818,1995,94,88,"R",72
"12 Years a Slave",187733202,2013,90,95,"R",73
"The Post",187795262,2017,73,88,"PG-13",74
"Jaws 2",187884007,1978,38,61,"PG",75
"The Secret Life of Walter Mitty",188133322,2013,71,52,"PG",77
"Rambo III",189015611,1988,45,41,"R",78
"XFiles Fight the Future",189176423,1998,72,67,"PG-13",80
"The White Storm 2: Drug Lords",189396380,2019,61,57,"",81
"Outbreak",189859560,1995,56,59,"R",82
"Hollow Man",190213455,2000,28,26,"R",83
"The Equalizer 2",190400157,2018,60,52,"R",84
"Abominable",190514622,2019,95,82,"PG",85
"Cheaper by the Dozen",190538630,2003,56,24,"PG",86
"The Santa Clause",190539357,1994,65,73,"PG",87
"The Lost City",190844029,2022,83,79,"PG-13",88
"The Longest Yard",191466556,2005,62,31,"PG-13",89
"The Addams Family",191502426,1991,69,45,"PG",90
"The Equalizer",192330738,2014,76,60,"R",92
"The Lego Movie 2: The Second Part",192456290,2019,68,84,"PG",93
"Weathering with You",193353305,2019,96,92,"PG-13",94
"Paranormal Activity",193355800,2009,57,83,"R",95
"The Monkey King 2",193678298,2016,52,100,"",96
"Gangs of New York",193772504,2002,81,72,"R",97
"The Sum of All Fears",193921372,2002,49,59,"PG-13",98
"Gnomeo & Juliet",193967670,2011,54,55,"G",99
"Wallace & Gromit: The Curse of the Were-Rabbit",194137091,2005,79,95,"",100
"The Intern",194564672,2015,73,59,"PG-13",101
"Downton Abbey",194694725,2019,94,84,"PG",102
"The BFG",195243411,2016,57,74,"PG",103
"The Pelican Brief",195268056,1993,61,54,"PG-13",104
"Rocketman",195320400,2019,88,89,"R",105
"The Shape of Water",195333312,2017,72,92,"R",106
"Tropic Thunder",195702963,2008,71,82,"R",107
"Anger Management",195745823,2003,60,42,"PG-13",108
"The Vow",196114570,2012,63,31,"PG-13",109
"Beowulf",196393745,2007,50,71,"PG-13",110
"Stargate",196567262,1994,73,52,"PG-13",111
"The Other Woman",196710396,2014,57,26,"PG-13",112
"Panic Room",197079546,2002,64,76,"R",113
"Spy Kids 3: Game Over",197101678,2003,25,45,"PG",114
"Smurfs: The Lost Village",197183546,2017,55,40,"PG",116
"Jack the Giant Slayer",197687603,2013,55,52,"PG-13",117
"Christopher Robin",197744377,2018,83,72,"PG",118
"Lost in Thailand",197757387,2012,49,67,"",119
"The Impossible",198087212,2012,84,81,"PG-13",120
"The Island",198326350,2018,80,100,"",121
"Total Recall",198467168,2012,47,31,"PG-13",122
"50 First Dates",198520934,2004,65,45,"PG-13",123
"The Pacifier",198636868,2005,58,21,"PG",124
"City of Angels",198685114,1998,82,58,"PG-13",125
"RED",199006387,2010,72,71,"PG-13",127
"Two Weeks Notice",199043471,2002,59,42,"PG-13",128
"Percy Jackson: Sea of Monsters",199850315,2013,54,42,"PG",129
"The Hunt for Red October",200512643,1990,88,88,"PG",130
"Cats & Dogs",200687492,2001,32,53,"PG",131
"Open Season",200811689,2006,57,49,"PG",132
"Valkyrie",201545517,2008,65,62,"PG-13",133
"21 Jump Street",201585328,2012,82,85,"R",134
"Straight Outta Compton",201634991,2015,91,89,"R",135
"Kindergarten Cop",201957688,1990,52,53,"PG-13",136
"Teenage Mutant Ninja Turtles",202084756,1990,60,35,"PG",137
"Patch Adams",202292902,1998,73,22,"PG-13",138
"Garfield",203172417,2004,38,15,"PG",139
"Need for Speed",203277636,2014,57,22,"PG-13",140
"Arrival",203388186,2016,82,95,"PG-13",141
"Vanilla Sky",203388341,2001,72,43,"R",142
"Everest",203427584,2015,68,73,"PG-13",143
"Yogi Bear",203509374,2010,34,13,"PG",144
"King Arthur",203567857,2004,59,31,"PG-13",145
"Hairspray",203627753,2007,84,92,"PG",146
"DC League of Super-Pets",203857117,2022,88,73,"PG",147
"You Don't Mess with the Zohan",204313400,2008,45,37,"PG-13",148
"Ghostbusters: Afterlife",204334455,2021,94,63,"PG-13",149
"The Addams Family",204394183,2019,69,45,"PG",150
"Eat Pray Love",204594016,2010,42,36,"PG-13",151
"Fun with Dick and Jane",204681899,2005,49,29,"PG-13",152
"Ponyo",204826668,2008,83,91,"G",153
"A Dog's Purpose",205035819,2017,73,35,"PG",154
"Birds of Prey",205322941,2020,78,79,"R",155
"White House Down",205366737,2013,62,51,"PG-13",156
"JFK",205405498,1991,88,85,"R",157
"The Ugly Truth",205599393,2009,60,14,"R",158
"The Break-Up",205668210,2006,46,34,"PG-13",160
"London Has Fallen",205754447,2016,50,27,"R",161
"Raging Fire",205842393,2021,100,91,"",162
"The Jungle Book",205843612,1967,82,88,"G",163
"The Holiday",205850134,2006,80,51,"PG-13",164
"Sleepy Hollow",206071502,1999,80,70,"R",165
"The Conjuring: The Devil Made Me Do It",206401480,2021,83,55,"R",166
"Philadelphia",206678440,1993,89,81,"PG-13",167
"Paranormal Activity 3",207039844,2011,51,66,"R",168
"Traffic",207515725,2000,85,92,"R",169
"The Fast and the Furious",207517509,2001,74,53,"PG-13",170
"S.W.A.T.",207725639,2003,52,48,"PG-13",171
"Safe House",208076205,2012,63,53,"R",172
"Me Before You",208314186,2016,73,54,"PG-13",173
"Tomorrowland",209035668,2015,49,50,"PG",174
"Red Dragon",209196298,2002,74,69,"R",175
"Us and Them",209221380,2018,90,100,"",176
"Horrible Bosses",209838559,2011,70,69,"R",177
"The Others",209947037,2001,77,84,"PG-13",178
"Moonraker",210308099,1979,43,59,"PG",179
"District 9",210888950,2009,82,90,"R",180
"The Little Mermaid",211343479,1989,88,93,"G",182
"A Series of Unfortunate Events",211468235,2004,63,72,"PG",183
"Master and Commander: The Far Side of the World",211622535,2003,80,85,"PG-13",184
"Due Date",211780824,2010,52,39,"R",185
"Australia",211787511,2008,65,54,"PG-13",186
"Battle Los Angeles",211819354,2011,48,37,"PG-13",187
"Fury",211822697,2014,84,76,"R",188
"Bridget Jones's Baby",211952420,2016,65,78,"R",189
"End of Days",211989043,1999,32,11,"R",190
"Ace Ventura: When Nature Calls",212385533,1995,72,21,"PG-13",191
"Entrapment",212404396,1999,50,40,"PG-13",192
"Miss Congeniality",212742720,2000,69,41,"PG-13",193
"Bedtime Stories",212874864,2008,55,27,"PG",194
"Into the Woods",212902372,2014,49,71,"PG",195
"Braveheart",213216216,1995,85,75,"R",196
"Crouching Tiger, Hidden Dragon",213525736,2000,86,97,"PG-13",197
"The Aviator",213719942,2004,79,86,"PG-13",198
"Pulp Fiction",213928762,1994,96,92,"R",199
"Disclosure",214015089,1994,41,60,"R",200
"The Bourne Identity",214034224,2002,93,84,"PG-13",201
"Public Enemies",214104620,2009,59,68,"R",202
"Smallfoot",214115531,2018,62,76,"PG",203
"Creed II",214215889,2018,80,83,"PG-13",204
"Dirty Dancing",214577242,1987,90,71,"PG-13",205
"The Expendables 3",214657577,2014,48,31,"PG-13",206
"Just Go with It",214945591,2011,59,19,"PG-13",207
"The Sorcerer's Apprentice",215283742,2010,53,40,"PG",208
"The Patriot",215294342,2000,55,100,"",209
"Ghostbusters II",215394738,1989,61,55,"PG",210
"Vertical Limit",215663859,2000,41,48,"PG-13",211
"Ted 2",215863606,2015,50,44,"R",213
"One Hundred and One Dalmatians",215880014,1961,76,98,"G",214
"Clear and Present Danger",215887717,1994,74,80,"PG-13",215
"The Croods: A New Age",215905815,2020,94,77,"PG",216
"Smile",216135048,2022,77,80,"R",217
"Bad Teacher",216197492,2011,36,45,"R",218
"Valentine's Day",216528528,2010,47,18,"PG-13",219
"Twins",216614388,1988,39,42,"PG",220
"The Help",216639112,2011,89,76,"PG-13",221
"Million Dollar Baby",216763646,2004,90,90,"PG-13",222
"Central Intelligence",216972543,2016,62,71,"PG-13",223
"Dracula Untold",217124280,2014,58,25,"PG-13",224
"The Emoji Movie",217776646,2017,37,6,"PG",226
"Kingdom of Heaven",218122627,2005,72,39,"R",227
"Jack Reacher",218340595,2012,67,63,"PG-13",228
"The Prince of Egypt",218613188,1998,90,79,"PG",229
"Captain Phillips",218791811,2013,89,93,"PG-13",230
"Little Women",218843645,2019,92,95,"PG",231
"The Terminal",219100084,2004,74,61,"PG-13",232
"It's Complicated",219103655,2009,60,59,"R",233
"What Happens in Vegas",219375562,2008,37,25,"PG-13",234
"Green Lantern",219851172,2011,45,26,"PG-13",235
"Knocked Up",219922417,2007,83,89,"R",236
"Inferno",220021259,2016,36,23,"PG-13",237
"Collateral",220239925,2004,84,86,"R",238
"Scary Movie 3",220673217,2003,54,35,"PG-13",239
"Jungle Cruise",220889446,2021,92,63,"PG-13",240
"Presumed Innocent",221303188,1990,67,86,"R",241
"Geostorm",221600160,2017,35,17,"PG-13",242
"Wild Wild West",222104681,1999,28,16,"PG-13",244
"Fahrenheit 9/11",222446882,2004,70,82,"R",245
"Honey, I Shrunk the Kids",222724172,1989,54,78,"PG",246
"Non-Stop",222809600,2014,75,67,"",247
"Yes Man",223241637,2008,66,46,"PG-13",248
"Flightplan",223387299,2005,48,37,"PG-13",249
"Interview with the Vampire",223664608,1994,86,64,"R",250
"Con Air",224012234,1997,75,58,"R",251
"Chicken Run",224874811,2000,65,97,"G",252
"The Social Network",224920375,2010,87,96,"PG-13",253
"Jumper",225132113,2008,44,15,"PG-13",254
"Ford v Ferrari",225508210,2019,98,92,"PG-13",255
"Better Days",225918798,2019,97,97,"",256
"Good Will Hunting",225933435,1997,94,97,"R",257
"Valerian and the City of a Thousand Planets",225973340,2017,53,48,"PG-13",258
"Elf",226268933,2003,79,85,"PG",259
"Hansel & Gretel: Witch Hunters",226349749,2013,53,16,"R",260
"Lightyear",226425420,2022,84,74,"PG",261
"Percy Jackson & the Olympians: The Lightning Thief",226497209,2010,53,49,"PG",262
"Taken",226837760,2008,85,59,"PG-13",263
"Immortals",226904017,2011,49,49,"R",264
"Baby Driver",226945087,2017,86,92,"R",265
"Youth",227091290,2017,87,81,"",266
"Out of Africa",227514205,1985,82,61,"PG",267
"The Green Hornet",227817248,2011,43,44,"PG-13",268
"Lethal Weapon 2",227853986,1989,77,82,"R",269
"Sleepless in Seattle",227927165,1993,75,75,"PG",270
"Paddington 2",227994792,2017,88,99,"PG",271
"Ghost Rider",228738393,2007,47,27,"PG-13",273
"Ghostbusters",229147509,2016,49,73,"PG-13",274
"The Heat",229930771,2013,71,66,"R",275
"Life Is Beautiful",230098753,1998,96,81,"PG-13",276
"Space Jam",230594962,1996,63,43,"PG",277
"Get Smart",230685453,2008,67,51,"PG-13",278
"Constantine",230884728,2005,72,46,"R",279
"Annabelle Comes Home",231252591,2019,70,64,"R",280
"Sister Act",231605150,1992,65,74,"PG",281
"The English Patient",231976425,1996,83,86,"R",282
"Mr. Bean's Holiday",232225908,2007,49,51,"G",283
"Argo",232325503,2012,90,96,"R",284
"Juno",232372681,2007,88,94,"PG-13",285
"The Girl with the Dragon Tattoo",232617430,2011,86,86,"R",286
"American Wedding",232722935,2003,63,53,"R",287
"The Day the Earth Stood Still",233093859,2008,27,20,"PG-13",288
"Cruella",233503234,2021,97,75,"PG-13",289
"The Imitation Game",233555708,2014,91,90,"PG-13",290
"Alvin and the Chipmunks: The Road Chip",234798636,2015,51,15,"PG",291
"Big Daddy",234801895,1999,74,39,"PG-13",292
"American Reunion",234989584,2012,63,45,"R",293
"American Pie",235483004,1999,61,61,"R",294
"Spy",235666219,2015,78,95,"R",295
"Dead Poets Society",235860116,1989,92,84,"PG",296
"A.I. Artificial Intelligence",235926552,2001,64,75,"PG-13",297
"Hidden Figures",235956898,2016,93,93,"PG",298
"2 Fast 2 Furious",236350661,2003,50,36,"PG-13",299
"Silver Linings Playbook",236412453,2012,86,92,"R",300
"Saturday Night Fever",237113184,1977,71,83,"R",301
"Gone in 60 Seconds",237202299,2000,77,25,"PG-13",302
"Gulliver's Travels",237382724,2010,27,20,"PG",303
"Howl's Moving Castle",237536126,2004,93,87,"PG",304
"Batman & Robin",238235719,1997,16,12,"PG-13",305
"Crazy Rich Asians",238843729,2018,76,91,"PG-13",306
"Planes",239258712,2013,49,25,"PG",307
"Bullet Train",239268602,2022,76,54,"R",308
"Crocodile Dundee II",239606210,1988,38,9,"PG",309
"Die Hard 2",240031274,1990,70,69,"R",310
"Resident Evil: Retribution",240159255,2012,51,28,"R",311
"Click",240685326,2006,66,34,"PG-13",312
"Assassin's Creed",240697856,2016,42,19,"PG-13",313
"Sully",240797623,2016,84,85,"PG-13",314
"Alien: Covenant",240891763,2017,55,65,"R",315
"Eraser",242295562,1996,39,42,"R",316
"RoboCop",242688965,2014,49,49,"PG-13",317
"Daddy's Home",242786137,2015,49,30,"PG-13",318
"8 Mile",242875078,2002,54,75,"R",319
"Cloudy with a Chance of Meatballs",243006126,2009,72,86,"PG",320
"Few Good Men",243240178,1992,89,83,"R",321
"After Earth",243611982,2013,36,12,"PG-13",322
"Journey to the Center of the Earth",244232688,2008,51,61,"PG",323
"Rush Hour",244721064,1998,78,61,"PG-13",324
"Hercules",244819862,2014,33,5,"PG-13",325
"Pixels",244874809,2015,46,18,"PG-13",326
"Back to the Future III",245077583,1990,78,80,"PG",327
"Welcome to the Sticks",245144417,2008,78,67,"",328
"Hulk",245285165,2003,29,62,"PG-13",329
"Dark Shadows",245527149,2012,46,35,"PG-13",330
"Teenage Mutant Ninja Turtles: Out of the Shadows",245623848,2016,46,37,"PG-13",331
"Face/Off",245676146,1997,82,92,"R",332
"Four Weddings and a Funeral",245700832,1994,74,96,"R",333
"Rango",245724603,2011,70,88,"PG",334
"The Peanuts Movie",246233113,2015,76,87,"G",335
"Grown Ups 2",246984278,2013,53,8,"PG-13",336
"Glass",246999039,2019,67,36,"PG-13",337
"Love Actually",247248468,2003,72,64,"R",338
"Dumb and Dumber",247290327,1994,84,68,"PG-13",339
"Journey to the West: The Demons Strike Back",247585244,2017,49,58,"PG-13",340
"Unbreakable",248118121,2000,77,70,"PG-13",341
"The Blair Witch Project",248639099,1999,56,86,"R",342
"The Ring",249348933,2002,48,71,"PG-13",343
"The Bad Guys",250162278,2022,93,88,"PG",344
"The Mask of Zorro",250288523,1998,73,83,"PG-13",345
"The Godfather",250341816,1972,98,97,"R",346
"Brother Bear",250397798,2003,65,37,"G",347
"Eragon",250425512,2006,46,16,"PG",348
