"Title","Profit","Year","audienceScore","tomatoMeter","Rating","Rank"
"Chronicles of Narnia: The Voyage of the Dawn Treader",415686217,2010,58,50,"PG",678
"The Captain 2019",417282021,2019,96,75,"",679
"Sex and the City",418765519,2008,77,49,"R",680
"Chronicles of Narnia: Prince Caspian",419665568,2008,73,66,"PG",681
"Dances with Wolves",424208848,1990,87,87,"PG-13",682
"Beauty and the Beast",424967620,1991,91,94,"G",683
"Django Unchained",426074373,2012,92,87,"R",684
"Bad Boys for Life",426505244,2020,96,76,"R",685
"The Intouchables",426588510,2011,93,76,"R",686
"The Matrix Revolutions",427344325,2003,60,34,"R",687
"The King's Speech",427374317,2010,92,94,"R",688
"Rampage",428028233,2018,72,51,"PG-13",689
"Cast Away",429632142,2000,84,89,"PG-13",690
"The Secret Life of Pets 2",431058056,2019,90,60,"PG",691
"Die Another Day",431971116,2002,41,55,"PG-13",692
"Shang Chi and the Legend of the Ten Rings",432243292,2021,98,91,"PG-13",693
"Pokemon Detective Pikachu",433230304,2019,79,68,"PG",694
"Terminator 3: Rise of the Machines",433371112,2003,46,69,"R",695
"The Greatest Showman",435732529,2017,86,56,"PG",696
"A Star Is Born",436233122,2018,80,90,"R",697
"Warcraft",439048914,2016,76,29,"PG-13",698
"Terminator Genisys",440603537,2015,52,26,"PG-13",699
"Mrs. Doubtfire",441286195,1993,77,70,"PG",700
"The Exorcist",441306145,1973,87,84,"R",701
"Les Miserables 2012",442299309,2012,79,69,"PG-13",702
"Alvin and the Chipmunks: The Squeakquel",443140005,2009,49,21,"PG",703
"Mummy Returns",443280904,2001,63,47,"PG-13",704
"Bourne Ultimatum",444100035,2007,91,92,"PG-13",705
"Men in Black II",445135288,2002,45,38,"PG-13",706
"Tarzan",448191819,1999,75,89,"G",707
"Pearl Harbor",449220945,2001,66,24,"PG-13",708
"Thor",449326618,2011,76,77,"PG-13",709
"Ocean's Eleven",450717150,2001,80,83,"PG-13",710
"Dying to Survive",451183391,2018,92,86,"",711
"Demon Slayer the Movie: Mugen Train",453210959,2020,99,98,"R",712
"Last Samurai",454627263,2003,83,66,"R",713
"300",456082343,2007,89,61,"R",714
"Mission: Impossible",457696391,1996,71,66,"PG-13",715
"National Treasure: Book of Secrets",459242249,2007,67,36,"PG",716
"X Men 3: The Last Stand",460435291,2006,61,57,"PG-13",717
"The Eight Hundred",461421559,2020,76,88,"",718
"Cars",461991867,2006,79,74,"G",719
"Pretty Woman",463406268,1990,68,66,"R",720
"Gladiator",465380802,2000,87,79,"R",721
"The Matrix",467222728,1999,85,88,"R",722
"Star Trek Into Darkness",467365246,2013,89,84,"PG-13",723
"Bumblebee",467989645,2018,74,91,"PG-13",724
"The Lego Movie",468266122,2014,87,96,"PG",725
"Lucy",469058574,2014,47,66,"R",726
"The Hangover",469328079,2009,84,79,"R",727
"Godzilla vs. Kong",470067014,2021,91,75,"PG-13",728
"Wreck It Ralph",471222889,2012,86,87,"PG",729
"La La Land",471227161,2016,81,91,"PG-13",730
"It Chapter Two",473122525,2019,78,62,"R",731
"San Andreas",474009154,2015,52,48,"PG-13",732
"Indiana Jones and the Last Crusade",474171806,1989,94,88,"PG-13",733
"Charlie and the Chocolate Factory",474968763,2005,51,83,"PG",734
"Star Wars: Episode VI - Return of the Jedi",475106177,1983,94,83,"PG",735
"Hotel Transylvania 2",475186706,2015,63,55,"PG",736
"Jaws",476512065,1975,90,97,"PG",737
"Home Alone",476684675,1990,80,66,"PG",738
"Rise of the Planet of the Apes",481800873,2011,77,82,"PG-13",739
"Saving Private Ryan",482349603,1998,95,94,"R",740
"Rio",483866518,2011,71,72,"G",741
"Bruce Almighty",484592874,2003,57,48,"PG-13",742
"Teenage Mutant Ninja Turtles",485004754,2014,60,35,"PG",743
"Angels & Demons",485930816,2009,57,37,"PG-13",744
"Mr. & Mrs. Smith",487287646,2005,58,59,"PG-13",745
"Shrek",488351320,2001,90,88,"PG",746
"War for the Planet of the Apes",490719763,2017,84,94,"PG-13",747
"Maleficent: Mistress of Evil",491730089,2019,95,39,"PG",748
"Clash of the Titans",493214993,2010,70,63,"PG",749
"Oz the Great and Powerful",493311825,2013,56,56,"PG",750
"Twister",494580615,1996,58,63,"PG-13",751
"How to Train Your Dragon",494879471,2010,91,99,"PG",752
"Toy Story 2",497375381,1999,87,100,"G",753
"Troy",497409852,2004,73,53,"R",754
"Rio 2",498781117,2014,58,48,"G",755
"Aladdin",504050219,1992,94,57,"PG",756
"Ghost",505703557,1990,80,75,"PG-13",757
"Venom: Let There Be Carnage",506863592,2021,84,57,"PG-13",758
"The Grinch",513540357,2018,51,59,"PG",759
"Ant-Man",519311965,2015,85,83,"PG-13",760
"Terminator 2: Judgment Day",520881154,1991,95,93,"R",761
"Kung Fu Panda 3",521170825,2016,78,86,"PG",762
"WALL E",521311890,2008,90,95,"G",763
"Meet the Fockers",522657936,2004,58,38,"PG-13",764
"Sherlock Holmes",524028679,2009,77,69,"PG-13",765
"How to Train Your Dragon: The Hidden World",524580592,2019,86,90,"PG",766
"Godzilla",524976069,2014,28,16,"PG-13",767
"Dunkirk",527016307,2017,71,60,"",768
"The Boss Baby",527965936,2017,51,53,"PG",769
"Hotel Transylvania 3: Summer Vacation",528583774,2018,48,62,"PG",770
"Ralph Breaks the Internet",529323962,2018,64,88,"PG",771
"The Meg",530517320,2018,42,46,"PG-13",772
"The Revenant 2015",532950503,2015,84,78,"R",773
"Simpsons Movie",536414293,2007,77,87,"PG-13",774
"Star Wars: The Empire Strikes Back",538375067,1980,97,94,"PG",775
"Brave",538983207,2012,75,79,"PG",776
"World War Z",540455876,2013,72,66,"PG-13",777
"Madagascar",542063846,2005,66,55,"PG",778
"Cinderella",542358331,2015,80,97,"G",779
"Despicable Me",543157985,2010,83,80,"PG",780
"Sherlock Holmes: A Game of Shadows",543848418,2011,77,59,"PG-13",781
"X Men: Apocalypse",543934105,2016,65,47,"PG-13",782
"Detective Chinatown 2",544185156,2018,66,54,"R",783
"Mission: Impossible II",546388108,2000,42,56,"PG-13",784
"American Sniper",547459020,2014,84,72,"R",785
"Ted",549368315,2012,73,69,"R",786
"Day After Tomorrow",552639571,2004,50,45,"PG-13",787
"Armageddon",553709788,1998,73,37,"PG-13",788
"The Mermaid",553810228,2016,60,95,"R",789
"Puss in Boots",554987477,2011,67,86,"PG",790
"King Kong",556906378,2005,50,84,"PG-13",791
"Cars 2",559852396,2011,49,39,"G",792
"The Smurfs",563749323,2011,43,21,"PG",793
"Kong: Skull Island",566652812,2017,69,75,"PG-13",794
"Fifty Shades of Grey",569651467,2015,41,24,"R",795
"Night at the Museum",574481229,2006,67,43,"PG",796
"Operation Red Sea",579330426,2018,64,80,"",797
"Monsters, Inc.",579707738,2001,90,96,"G",798
"Ready Player One",582918849,2018,77,72,"PG-13",799
"I Am Legend",585410052,2007,68,68,"PG-13",800
"Iron Man",585796247,2008,91,94,"PG-13",801
"The Hangover Part II",586764305,2011,52,34,"R",802
"The Croods",587235983,2013,77,71,"PG",803
"Men in Black",589390539,1997,80,91,"PG-13",804
"Quantum of Solace",589580482,2008,58,64,"PG-13",805
"Tangled",592462816,2010,87,89,"PG",806
"War of the Worlds",603873119,2005,42,75,"PG-13",807
"Madagascar: Escape 2 Africa",603900354,2008,66,64,"PG",808
"Transformers: The Last Knight",605425157,2017,43,16,"PG-13",809
"Life of Pi",609016565,2012,84,86,"PG",810
"Passion of the Christ",612054506,2004,80,49,"R",811
"Casino Royale",616504662,2006,90,94,"PG-13",812
"Lost World Jurassic Park",618638999,1997,51,54,"PG-13",813
"Logan 2017",619179950,2017,90,94,"R",814
"How to Train Your Dragon 2",621537519,2014,89,92,"PG",815
"Ant-Man and the Wasp",622674139,2018,80,87,"PG-13",816
"Ratatouille",623726085,2007,87,96,"G",817
"Iron Man 2",623933331,2010,71,71,"PG-13",818
"Fast Five",626137675,2011,83,78,"PG-13",819
"Hancock",629443428,2008,59,41,"PG-13",820
"The Martian",630620818,2015,91,91,"PG-13",821
"The Incredibles",631607053,2004,75,97,"PG",822
"Kung Fu Panda",632083197,2008,83,87,"PG",823
"Sing",634338384,2016,89,43,"PG-13",824
"Thor: The Dark World",644783140,2013,75,66,"PG-13",825
"The Hunger Games: Mockingjay - Part 2",653428261,2015,66,70,"PG-13",826
"Star Wars: Episode II - Attack of the Clones",653779970,2002,56,65,"PG",827
"Men in Black III",654213485,2012,70,67,"PG-13",828
"Pirates of the Caribbean: The Curse of the Black Pearl",654264015,2003,86,80,"PG-13",829
"Fantastic Beasts: The Crimes of Grindelwald",654855901,2018,54,36,"PG-13",830
"Big Hero 6",657869686,2014,91,90,"PG",831
"Zack Snyder's Justice League",657926987,2017,94,71,"R",832
"Moana",665069139,2016,89,95,"PG",833
"Kung Fu Panda the Kaboom of Doom",665692281,2011,74,80,"PG",834
"Ice Age 2",667094506,2006,71,57,"PG",835
"Man of Steel",668045518,2013,75,56,"PG-13",836
"Sixth Sense",672806432,1999,90,86,"PG-13",837
"Doctor Strange 2016",677796076,2016,86,89,"PG-13",838
"Forrest Gump",678226465,1994,95,71,"PG-13",839
"Mission: Impossible - Rogue Nation",682716636,2015,87,94,"PG-13",840
"The Hunger Games",694394724,2012,81,84,"PG-13",841
"Mamma Mia!",694476782,2008,66,55,"PG-13",842
"Mission: Impossible - Ghost Protocol",694713380,2011,76,93,"PG-13",843
"The Twilight Saga: Eclipse",698509825,2010,60,47,"PG-13",844
"The Wandering Earth",699992512,2019,48,70,"",845
"It 2017",701842551,2017,84,86,"R",846
"The Amazing Spider-Man 2",708982323,2014,64,51,"PG-13",847
"Transformers the Movie",709709780,2007,85,58,"PG-13",848
"Dawn of the Planet of the Apes",710644566,2014,88,91,"PG-13",849
"The Twilight Saga: New Moon",711025481,2009,61,29,"PG-13",850
"The Twilight Saga: Breaking Dawn - Part 1",712205856,2011,60,25,"PG-13",851
"Captain America: The Winter Soldier",714421503,2014,92,90,"PG-13",852
"F9",726229501,2021,82,59,"PG-13",853
"Ne Zha",726264074,2019,98,88,"",854
"Up",735099102,2009,90,98,"PG",855
"The Matrix Reloaded",741847937,2003,72,73,"R",856
"Monsters University",743559645,2013,81,80,"G",857
"Chronicles of Narnia Lion Witch Wardrobe",745013115,2005,61,76,"PG",858
"X-Men: Days of Future Past",746045700,2014,91,90,"PG-13",859
"Suicide Squad",746846894,2016,58,26,"PG-13",860
"Madagascar 3: Europe's Most Wanted",746921274,2012,72,78,"PG",861
"Gravity",748049949,2013,79,96,"PG-13",862
"Shrek Forever After",752600867,2010,54,57,"PG",863
"The Hunger Games: Mockingjay - Part 1",755356711,2014,71,69,"PG-13",864
"The Amazing Spider-Man",757930663,2012,77,71,"PG-13",865
"Maleficent",758411779,2014,70,54,"PG",866
"Da Vinci Code",760006945,2006,57,25,"PG-13",867
"Fast & Furious Presents: Hobbs & Shaw",760732926,2019,88,68,"PG-13",868
"Thor: Love and Thunder",760928081,2022,77,64,"PG-13",869
"The Batman",770836163,2022,87,85,"PG-13",870
"Black Panther: Wakanda Forever",772662471,2022,94,84,"PG-13",871
"Guardians of the Galaxy",773350147,2014,92,92,"PG-13",872
"Interstellar",773837686,2014,86,73,"PG-13",873
"No Time to Die",774153007,2021,88,83,"PG-13",874
"Star Wars: A New Hope",775398007,1977,96,93,"PG",875
"Deadpool",782836791,2016,90,85,"R",876
"Deadpool 2",785896609,2018,85,84,"R",877
"Fast & Furious 6",788680968,2013,84,70,"PG-13",878
"SpiderMan 2",788976453,2004,82,93,"PG-13",879
"Indiana Jones and the Kingdom of the Crystal Skull",790653942,2008,53,78,"PG-13",880
"2012",791217826,2009,47,39,"PG-13",881
"Mission: Impossible - Fallout",791657398,2018,88,97,"PG-13",882
"E.T. the ExtraTerrestrial",792910554,1982,72,99,"PG",883
"Pirates of the Caribbean: Dead Men Tell No Tales",794881442,2017,60,30,"PG-13",884
"Harry Potter and the Prisoner of Azkaban",797660766,2004,86,90,"PG",885
"Jumanji: The Next Level",801693929,2019,87,71,"PG-13",886
"Coco 2017",807817888,2017,94,97,"PG",887
"Shrek the Third",813367380,2007,52,41,"PG",888
"Fantastic Beasts and Where to Find Them",814044001,2016,79,74,"PG-13",889
"Independence Day",817400891,1996,75,67,"PG-13",890
"Hi, Mom",822009764,2021,56,73,"R",891
"Wonder Woman",822854286,2017,78,83,"PG-13",892
"Spider-Man",825025036,2002,67,90,"PG-13",893
"Transformers: Revenge of the Fallen",836303693,2009,57,20,"PG-13",894
"Inception",836848102,2010,91,87,"PG-13",895
"The Twilight Saga: Breaking Dawn - Part 2",848853382,2012,70,49,"PG-13",896
"Thor: Ragnarok",853983879,2017,87,93,"PG-13",897
"Venom 2018",856085151,2018,80,29,"PG-13",898
"Inside Out 2015",858848019,2015,89,98,"PG",899
"Guardians of the Galaxy Vol. 2",863756051,2017,87,85,"PG-13",900
"The Hunger Games: Catching Fire",865011746,2013,89,90,"PG-13",901
"Star Wars: Episode III - Revenge of the Sith",868390560,2005,66,79,"PG-13",902
"Wolf Warrior 2",870325439,2017,75,69,"",903
"Batman v Superman: Dawn of Justice",873637528,2016,63,29,"PG-13",904
"Ice Age: Continental Drift",877244782,2012,61,37,"PG",905
"Spider-Man: Homecoming",880166924,2017,87,92,"PG-13",906
"Spectre 2015",880705312,2015,61,63,"PG-13",907
"Ice Age: Dawn of the Dinosaurs",886686817,2009,63,46,"PG",908
"The Secret Life of Pets",894328469,2016,62,72,"PG",909
"SpiderMan 3",894983373,2007,51,63,"PG-13",910
"Harry Potter and the Goblet of Fire",896815106,2005,74,88,"PG-13",911
"The Lord of the Rings: The Fellowship of the Ring",898204420,2001,95,91,"PG-13",912
"The Battle at Lake Changjin",902548476,2021,100,36,"",913
"Bohemian Rhapsody",910809311,2018,85,60,"PG-13",914
"Harry Potter and the Chamber of Secrets",925054421,2002,80,82,"PG",915
"Shrek 2",928760770,2004,69,89,"PG",916
"Harry Potter and the Half-Blood Prince",934504700,2009,78,84,"PG",917
"Minions: The Rise of Gru",939433210,2022,89,70,"PG",918
"Finding Nemo",940352645,2003,86,99,"G",919
"Harry Potter and the Order of the Phoenix",942235757,2007,81,78,"PG-13",920
"The Lord of the Rings: The Two Towers",947944270,2002,95,95,"PG-13",921
"Doctor Strange in the Multiverse of Madness",955775804,2022,85,74,"PG-13",922
"The Hobbit: The Desolation of Smaug",959027992,2013,85,74,"PG-13",923
"Pirates of the Caribbean: At World's End",960996492,2007,72,44,"PG-13",924
"The Hobbit: The Battle of the Five Armies",962201338,2014,74,59,"PG-13",925
"The Jungle Book 2016",966554929,2016,86,94,"PG",926
"Despicable Me 2",970766005,2013,85,75,"PG",927
"Harry Potter and the Deathly Hallows: Part 1",977070383,2010,85,77,"PG-13",928
"Jumanji: Welcome to the Jungle",995339117,2017,87,76,"PG-13",929
"Jurassic World: Dominion",1001136080,2022,77,29,"PG-13",930
"The Dark Knight",1006234167,2008,94,94,"PG-13",931
"The Hobbit: An Unexpected Journey",1017030651,2012,83,64,"PG-13",932
"Harry Potter and the Sorcerer's Stone",1023842938,2001,82,81,"PG",933
"Alice in Wonderland",1025468216,2010,55,51,"PG",934
"Star Wars: Episode I - The Phantom Menace",1027082707,1999,59,51,"PG",935
"Finding Dory",1028570942,2016,84,94,"PG",936
"Despicable Me 3",1034800131,2017,53,59,"PG",937
"Zootopia",1042533689,2016,92,98,"PG",938
"Pirates of the Caribbean: On Stranger Tides",1045713802,2011,54,33,"PG-13",939
"Aladdin",1050693953,2019,94,57,"PG",940
"Rogue One: A Star Wars Story",1058682142,2016,87,84,"PG-13",941
"The Lion King",1063611805,1994,93,93,"G",942
"Pirates of the Caribbean: Dead Man's Chest",1066179747,2006,72,53,"PG-13",943
"Toy Story 3",1066970811,2010,90,98,"G",944
"Toy Story 4",1073394593,2019,94,97,"G",945
"Star Wars: The Rise of Skywalker",1074149279,2019,86,52,"PG-13",946
"Joker 2019",1074458282,2019,88,68,"R",947
"The Dark Knight Rises",1081169825,2012,90,87,"PG-13",948
"Transformers: Age of Extinction",1104054072,2014,50,17,"PG-13",949
"Skyfall",1108569499,2012,86,92,"PG-13",950
"Jurassic Park",1109802321,1993,91,91,"PG-13",951
"Transformers: Dark of the Moon",1123794079,2011,55,35,"PG-13",952
"Captain Marvel",1128462972,2019,45,79,"PG-13",953
"Spider-Man: Far from Home",1131927996,2019,95,90,"PG-13",954
"The Lord of the Rings: The Return of the King",1146457748,2003,86,93,"PG-13",955
"Aquaman",1148528393,2018,73,65,"PG-13",956
"Captain America: Civil War",1153337496,2016,89,90,"PG-13",957
"Minions",1159444662,2015,49,55,"PG",958
"Iron Man 3",1214811252,2013,78,79,"PG-13",959
"The Fate of the Furious",1236005118,2017,72,67,"PG-13",960
"Incredibles 2",1243089244,2018,84,93,"PG",961
"Frozen 2013",1304550716,2013,85,90,"PG",962
"Beauty and the Beast 2017",1305611599,2017,80,71,"PG",963
"Jurassic World: Fallen Kingdom",1310466296,2018,48,47,"PG-13",964
"Star Wars: The Last Jedi",1332698830,2017,42,91,"PG-13",965
"Harry Potter and the Deathly Hallows: Part 2",1342359942,2011,89,96,"PG-13",966
"Black Panther 2018",1382248826,2018,79,96,"PG-13",967
"Avengers: Age of Ultron",1402809540,2015,82,76,"PG-13",968
"Frozen II",1450026933,2019,92,77,"PG",969
"Top Gun: Maverick",1488732821,2022,99,96,"PG-13",970
"Furious 7",1515341399,2015,82,81,"PG-13",971
"Marvel's The Avengers",1518815515,2012,91,91,"PG-13",972
"The Lion King",1663250487,2019,93,93,"G",973
"Jurassic World",1671537444,2015,78,71,"PG-13",974
"Spider-Man: No Way Home",1916306995,2021,98,93,"PG-13",975
"Avengers: Infinity War",2048359754,2018,92,85,"PG-13",976
"Star Wars: Episode VII - The Force Awakens",2069521700,2015,85,93,"PG-13",977
"Titanic",2201647264,1997,69,87,"PG-13",978
"Avengers: Endgame",2797501328,2019,90,94,"PG-13",979
"Avatar",2922917914,2009,82,82,"PG-13",980
